,county,state,population,dc
0,Autauga,AL,34222,3.0
1,Baldwin,AL,98280,22.0
2,Barbour,AL,25417,1.0
3,Bibb,AL,16576,1.0
4,Blount,AL,39248,8.0
5,Bullock,AL,11042,0.0
6,Butler,AL,21892,1.0
7,Calhoun,AL,116034,21.0
8,Chambers,AL,36876,7.0
9,Cherokee,AL,19543,0.0
10,Chilton,AL,32458,5.0
11,Choctaw,AL,16018,4.0
12,Clarke,AL,27240,4.0
13,Clay,AL,13252,6.0
14,Cleburne,AL,12730,3.0
15,Coffee,AL,40240,7.0
16,Colbert,AL,51666,9.0
17,Conecuh,AL,14054,4.0
18,Coosa,AL,11063,3.0
19,Covington,AL,36478,7.0
20,Crenshaw,AL,13635,1.0
21,Cullman,AL,67613,17.0
22,Dale,AL,49633,3.0
23,Dallas,AL,48130,5.0
24,Dekalb,AL,54651,0.0
25,Elmore,AL,49210,4.0
26,Escambia,AL,35518,10.0
27,Etowah,AL,99840,17.0
28,Fayette,AL,17962,4.0
29,Franklin,AL,27814,8.0
30,Geneva,AL,23647,7.0
31,Greene,AL,10153,0.0
32,Hale,AL,15498,0.0
33,Henry,AL,15374,1.0
34,Houston,AL,81331,10.0
35,Jackson,AL,47796,13.0
36,Jefferson,AL,651525,111.0
37,Lamar,AL,15715,6.0
38,Lauderdale,AL,79661,13.0
39,Lawrence,AL,31513,6.0
40,Lee,AL,87146,13.0
41,Limestone,AL,54135,10.0
42,Lowndes,AL,12658,0.0
43,Macon,AL,24928,2.0
44,Madison,AL,238912,34.0
45,Marengo,AL,23084,5.0
46,Marion,AL,29830,8.0
47,Marshall,AL,70832,11.0
48,Mobile,AL,378643,52.0
49,Monroe,AL,23968,1.0
50,Montgomery,AL,209085,25.0
51,Morgan,AL,100043,16.0
52,Perry,AL,12759,1.0
53,Pickens,AL,20699,7.0
54,Pike,AL,27595,1.0
55,Randolph,AL,19881,2.0
56,Russell,AL,46860,13.0
57,Shelby,AL,99358,8.0
58,St. clair,AL,50009,0.0
59,Sumter,AL,16174,0.0
60,Talladega,AL,74107,12.0
61,Tallapoosa,AL,38826,15.0
62,Tuscaloosa,AL,150522,23.0
63,Walker,AL,67670,17.0
64,Washington,AL,16694,1.0
65,Wilcox,AL,13568,3.0
66,Winston,AL,22053,5.0
67,Apache,AZ,61591,2.0
68,Cochise,AZ,97624,15.0
69,Coconino,AZ,96591,6.0
70,Gila,AZ,40216,9.0
71,Graham,AZ,26554,13.0
72,Greenlee,AZ,8008,2.0
73,La paz,AZ,13844,0.0
74,Maricopa,AZ,2122101,373.0
75,Mohave,AZ,93497,30.0
76,Navajo,AZ,77658,10.0
77,Pima,AZ,666880,150.0
78,Pinal,AZ,116379,21.0
79,Santa cruz,AZ,29676,0.0
80,Yavapai,AZ,107714,35.0
81,Yuma,AZ,106895,21.0
82,Arkansas,AR,21653,4.0
83,Ashley,AR,24319,4.0
84,Baxter,AR,31186,9.0
85,Benton,AR,97499,20.0
86,Boone,AR,28297,10.0
87,Bradley,AR,11793,0.0
88,Calhoun,AR,5826,2.0
89,Carroll,AR,18654,4.0
90,Chicot,AR,15713,1.0
91,Clark,AR,21437,3.0
92,Clay,AR,18107,10.0
93,Cleburne,AR,19411,7.0
94,Cleveland,AR,7781,1.0
95,Columbia,AR,25691,8.0
96,Conway,AR,19151,4.0
97,Craighead,AR,68956,15.0
98,Crawford,AR,42493,12.0
99,Crittenden,AR,49939,1.0
100,Cross,AR,19225,3.0
101,Dallas,AR,9614,0.0
102,Desha,AR,16798,1.0
103,Drew,AR,17369,4.0
104,Faulkner,AR,60006,10.0
105,Franklin,AR,14897,3.0
106,Fulton,AR,10037,4.0
107,Garland,AR,73397,28.0
108,Grant,AR,13948,2.0
109,Greene,AR,31804,9.0
110,Hempstead,AR,21621,4.0
111,Hot spring,AR,26115,0.0
112,Howard,AR,13569,2.0
113,Independence,AR,31192,7.0
114,Izard,AR,11364,4.0
115,Jackson,AR,18944,4.0
116,Jefferson,AR,85487,17.0
117,Johnson,AR,18221,9.0
118,Lafayette,AR,9643,1.0
119,Lawrence,AR,17457,5.0
120,Lee,AR,13053,3.0
121,Lincoln,AR,13690,2.0
122,Little river,AR,13966,0.0
123,Logan,AR,20557,3.0
124,Lonoke,AR,39268,13.0
125,Madison,AR,11618,4.0
126,Marion,AR,12001,6.0
127,Miller,AR,38467,8.0
128,Mississippi,AR,57525,11.0
129,Monroe,AR,11333,3.0
130,Montgomery,AR,7841,1.0
131,Nevada,AR,10101,1.0
132,Newton,AR,7666,1.0
133,Ouachita,AR,30574,3.0
134,Perry,AR,7969,2.0
135,Phillips,AR,28838,8.0
136,Pike,AR,10086,3.0
137,Poinsett,AR,24664,6.0
138,Polk,AR,17347,6.0
139,Pope,AR,45883,11.0
140,Prairie,AR,9518,2.0
141,Pulaski,AR,349660,68.0
142,Randolph,AR,16558,7.0
143,Saline,AR,64183,15.0
144,Scott,AR,10205,3.0
145,Searcy,AR,7841,2.0
146,Sebastian,AR,99590,19.0
147,Sevier,AR,13637,3.0
148,Sharp,AR,14109,9.0
149,St. francis,AR,28497,0.0
150,Stone,AR,9775,6.0
151,Union,AR,46719,13.0
152,Van buren,AR,14008,0.0
153,Washington,AR,113409,20.0
154,White,AR,54676,15.0
155,Woodruff,AR,9520,1.0
156,Yell,AR,17759,5.0
157,Alameda,CA,1279182,177.0
158,Alpine,CA,1113,0.0
159,Amador,CA,30039,6.0
160,Butte,CA,182120,48.0
161,Calaveras,CA,31998,7.0
162,Colusa,CA,16275,4.0
163,Contra costa,CA,803732,0.0
164,Del norte,CA,23460,0.0
165,El dorado,CA,125995,0.0
166,Fresno,CA,667490,95.0
167,Glenn,CA,24798,6.0
168,Humboldt,CA,119118,28.0
169,Imperial,CA,109303,17.0
170,Inyo,CA,18281,2.0
171,Kern,CA,543477,87.0
172,Kings,CA,101469,12.0
173,Lake,CA,50631,23.0
174,Lassen,CA,27598,8.0
175,Los angeles,CA,8863164,0.0
176,Madera,CA,88090,16.0
177,Marin,CA,230096,47.0
178,Mariposa,CA,14302,6.0
179,Mendocino,CA,80345,12.0
180,Merced,CA,178403,35.0
181,Modoc,CA,9678,2.0
