,county,state,population,dc,obs_dr,pred_dr,pred_dc,pred_dr_err_low,pred_dr_err_upp,pred_dc_err_low,pred_dc_err_upp
0,Autauga,AL,34222,3.0,0.8766290690199287,2.9308567683429356e-05,10.0,1.9423142135750242e-05,3.961080680666481e-05,3.0,15.0
1,Baldwin,AL,98280,22.0,2.2385022385022393,2.943154870690503e-05,29.0,2.159401041415272e-05,3.6701924178431055e-05,18.0,40.0
2,Barbour,AL,25417,1.0,0.39343746311523786,3.0286109651264713e-05,8.0,1.9746220241978108e-05,4.166828424363262e-05,2.0,12.0
3,Bibb,AL,16576,1.0,0.6032818532818532,3.4691357463716956e-05,6.0,2.317196584517729e-05,4.8394429098766764e-05,2.0,10.0
4,Blount,AL,39248,8.0,2.0383204239706485,3.346314632582308e-05,13.0,2.3145616810398635e-05,4.335585724622555e-05,5.0,19.0
5,Bullock,AL,11042,0.0,0.0,3.630113811404642e-05,4.0,2.3508016906208122e-05,5.065817852622075e-05,0.0,7.0
6,Butler,AL,21892,1.0,0.4567878677142335,3.167929327584028e-05,7.0,2.0512029780309396e-05,4.261968511265101e-05,2.0,11.0
7,Calhoun,AL,116034,21.0,1.809814364755158,2.5566198699054056e-05,29.0,1.9574999857377116e-05,3.254663481526251e-05,19.0,42.0
8,Chambers,AL,36876,7.0,1.8982536066818525,3.3248524345671704e-05,12.0,2.2801741575722566e-05,4.3485754834523e-05,4.0,18.0
9,Cherokee,AL,19543,0.0,0.0,3.126516627314009e-05,6.0,1.8667669354205556e-05,4.242273873958587e-05,1.0,10.0
10,Chilton,AL,32458,5.0,1.5404522767884652,3.266750341195918e-05,10.0,2.3411398735077427e-05,4.5293776878715846e-05,4.0,16.0
11,Choctaw,AL,16018,4.0,2.49719066050693,3.987050378349728e-05,6.0,2.6464223608695846e-05,5.356262490955807e-05,1.0,10.0
12,Clarke,AL,27240,4.0,1.4684287812041117,3.3746502796096545e-05,9.0,2.3042542449732733e-05,4.5291788464306205e-05,4.0,15.0
13,Clay,AL,13252,6.0,4.527618472683368,4.5872096632129514e-05,6.0,3.2090574485338775e-05,6.177424937823876e-05,2.0,10.0
14,Cleburne,AL,12730,3.0,2.356637863315004,4.0732514662660514e-05,5.0,2.6821943086121664e-05,5.5375688161849144e-05,1.0,9.0
15,Coffee,AL,40240,7.0,1.739562624254473,3.2009182263153095e-05,13.0,2.2185887076292696e-05,4.226860967885436e-05,5.0,19.0
16,Colbert,AL,51666,9.0,1.7419579607478808,3.0368715914127105e-05,15.0,2.1841951718002604e-05,3.999872134820042e-05,7.0,23.0
17,Conecuh,AL,14054,4.0,2.8461647929415115,4.1503752182808605e-05,6.0,2.7714881460364215e-05,5.502585879974971e-05,2.0,10.0
18,Coosa,AL,11063,3.0,2.7117418421766253,4.169979907039283e-05,4.0,2.729279169387192e-05,5.562441514640132e-05,1.0,8.0
19,Covington,AL,36478,7.0,1.91896485552936,3.344987077242479e-05,12.0,2.3098164100816514e-05,4.3968099609089446e-05,6.0,19.0
20,Crenshaw,AL,13635,1.0,0.7334066740007334,3.6399260250652695e-05,5.0,2.358594583699491e-05,5.0129212649858226e-05,0.0,8.0
21,Cullman,AL,67613,17.0,2.5143093783739814,3.2843448516307506e-05,22.0,2.3671865844212914e-05,4.178007301527287e-05,12.0,31.0
22,Dale,AL,49633,3.0,0.604436564382568,2.4371686371891432e-05,12.0,1.5741509286814138e-05,3.2573303619812656e-05,4.0,18.0
23,Dallas,AL,48130,5.0,1.0388531061707875,2.7125975900349374e-05,13.0,1.859851887879762e-05,3.621319011424807e-05,6.0,20.0
24,Dekalb,AL,54651,0.0,0.0,2.0072286454714102e-05,11.0,1.277974763253551e-05,2.7756945248861307e-05,4.0,17.0
25,Elmore,AL,49210,4.0,0.8128429181060761,2.5558822360413227e-05,12.0,1.6802662163480527e-05,3.403399122411462e-05,5.0,19.0
26,Escambia,AL,35518,10.0,2.8154738442479865,3.767107076216121e-05,13.0,2.6305518485356564e-05,4.908083998090679e-05,6.0,20.0
27,Etowah,AL,99840,17.0,1.7027243589743588,2.5812652533883186e-05,26.0,1.9036096202928143e-05,3.325781976602342e-05,14.0,36.0
28,Fayette,AL,17962,4.0,2.2269235051775973,3.863911338729725e-05,7.0,2.5848179582062586e-05,5.2639276515403973e-05,2.0,11.0
